OrganizationIdentifier.x,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.TimeZoneCode,MonitoringLocationIdentifier,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure
USGS-AZ,Water,Surface Water,2/24/2016,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,3/9/2016,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,3/23/2016,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,4/11/2016,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,4/26/2016,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,6/27/2016,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,8/24/2016,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,10/18/2016,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,12/14/2016,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,1/9/2017,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,1/24/2017,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,2/28/2017,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,3/15/2017,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,3/30/2017,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,4/11/2017,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,4/25/2017,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,6/6/2017,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,8/15/2017,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,10/19/2017,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,12/12/2017,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,1/16/2018,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,1/30/2018,MST,USGS-09522000,Dissolved,1.05,ng/l,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,2/13/2018,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,2/27/2018,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,3/13/2018,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,3/29/2018,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,4/11/2018,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,4/24/2018,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,6/4/2018,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,8/14/2018,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,10/24/2018,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Surface Water,12/11/2018,MST,USGS-09522000,Dissolved,NA,No Unit,32.7186587,-114.7188444
USGS-AZ,Water,Groundwater,3/27/2018,MST,USGS-332303112322201,Dissolved,NA,No Unit,33.3841251,-112.5402196
USGS-AZ,Water,Groundwater,3/29/2018,MST,USGS-332500112095501,Dissolved,NA,No Unit,33.4167778,-112.1658889
USGS-AZ,Water,Groundwater,3/26/2018,MST,USGS-332659112264801,Dissolved,NA,No Unit,33.4489167,-112.447
